Dr. Abara is one of the best teachers on campus. He is very knowledgeable and he genuinely cares about his students. I highly recommend his class. Not taking his class would be a big mistake!!! Thank you  Dr.Abara for two semesters of excitement and fun!!! You are truly the best. Capish ?,good,cleaned,Predicted_Feedback,Predicted_Label
Do not take any class he teaches. Words cannot describe...,poor,take class teach word cannot describ,1,Positive
"Renzi is a solid prof and doesn't mess around. Midterms,finals and essays will be good for those who read,and a nightmare for those who don't. I got an A- but I read everything and participated in recitations (which counts!!). Go to class every week-he gives pop quizzes (if people don't come,he lectures about how we don't appreciate our education).",average,renzi solid prof mess around midterm final essay good read nightmar got read everyth particip recit count go class everi week give pop quizz peopl come lectur appreci educ,1,Positive
"Renzi is a demanding professor. He expects a lot, there is extensive reading, and his lectures cover some difficult material. That being said, I feel he is an incredible professor. I enjoyed all his lectures and they always left me thinking. His short papers are doable and as long as you show a good or interesting thought process, you'll do fine.",good,renzi demand professor expect lot extens read lectur cover difficult materi said feel incred professor enjoy lectur alway left think short paper doabl long show good interest thought process fine,1,Positive
"A tough professor especially on grading, but the lectures are worth it. This class helped me understand Nietzsche, Plato, Freud, Socrates, Kierkegaard, the Bible, and St. Augustine in a way I would never have on my own. He gives pop quizzes to check up on attendance, so make sure you attend every class.",awesome,tough professor especi grade lectur worth class help understand nietzsch plato freud socrat kierkegaard bibl st augustin way would never give pop quizz check attend make sure attend everi class,1,Positive
Had to put in 10 hours a week just for this class and ended up with an A-. It's not impossible to get an A as previous users have mentioned. It's just EXTREMELY difficult. Take this class if you are interested in philosophy and looking to read good literature and attending interesting lectures. Workload is as intense as it can get freshman year.,good,put hour week class end imposs get previou user mention extrem difficult take class interest philosophi look read good literatur attend interest lectur workload intens get freshman year,1,Positive
"DO NOT TAKE THIS CLASS, especially if you have no interest in philosophy. I have never struggled as much as I did in this class, the recitations are not helpful at all. Writing prompts for papers and exams are extremely complex and difficult to get a good grade on. He made lecture interesting, but I didn't feel he was very approachable or helpful.",poor,take class especi interest philosophi never struggl much class recit help write prompt paper exam extrem complex difficult get good grade made lectur interest feel approach help,1,Positive
"He was an amazing Professor. He was crystal clear about what he wanted. TA's are useless. D the midterm (my fault) and got B's on essays and on the final and got a B+ in the class. Not bad considering I'm majoring in Comp.Sci/Engineering. BTW, took the class Spring '11.",awesome,amaz professor crystal clear want ta useless midterm fault got b essay final got b class bad consid major comp sci engin btw took class spring,1,Positive
"Antiquity & 19th Century LINKED-- NO, JUST NO! It is a GPA killer and he is the most pompous man you will ever meet.  He is hard and just wants to make your life miserable.  Save your life and do not take his class!",average,antiqu th centuri link gpa killer pompou man ever meet hard want make life miser save life take class,1,Positive
DO NOT I SAID DO NOT TAKE THIS CLASS. YOU WILL PUT YOURSELF THROUGH HELL IF YOU TAKE THIS CLASS. I'd rather live in Antartica than ever take this class again. You have been warned!!,poor,said take class put hell take class rather live antartica ever take class warn,1,Positive
"He's incredibly smart and definitely knows his stuff, so go to all the lectures and listen intently. He has high expectations and is kind of a ****; he's also very full of himself. But at the end of the day, he's brilliant. You'll struggle hard for a B/B+, but definitely do-able. Anything in A range is practically impossible, though.",awesome,incred smart definit know stuff go lectur listen intent high expect kind also full end day brilliant struggl hard b b definit abl anyth rang practic imposs though,1,Positive
He is a very hard professor. You need to do all the ridiculously huge readings. He can be religiously offensive and intimidating. He is the agressive type. Lectures are interesting but boring at times. TA's are not very helpful at all.,average,hard professor need ridicul huge read religi offens intimid agress type lectur interest bore time ta help,1,Positive
"This class is hard and fast-paced, but Renzi knows what he's talking about & lectures are extremely interesting. The amount of reading is difficult to manage at times, good grades are hard to come by, & the midterm was one of the hardest tests I've had so far, but I feel like I'm actually learning in this course. Praying for a grade miracle though.",good,class hard fast pace renzi know talk lectur extrem interest amount read difficult manag time good grade hard come midterm one hardest test far feel like actual learn cours pray grade miracl though,1,Positive
"Before taking this class i was intimidated by what others said. But he's really not mean he's just very passionate about this subject. I went to his office hours for help and he was really nice and actually helped me a lot. IF you take this class be sure to attend lectures bc all of the necessary info. is presented there, overall good class",good,take class intimid other said realli mean passion subject went offic hour help realli nice actual help lot take class sure attend lectur bc necessari info present overal good class,1,Positive
"Conwest: Antiquity and 19th C.- Writing Intensive. This is very much a lecture type class and don't expect too much interaction with Renzi but his TA is very helpful. There's a lot of reading and most of it is interesting. Before the first assignment remember to ask the TA, very specifically, what they're looking for in the writing assignments.",average,conwest antiqu th c write intens much lectur type class expect much interact renzi ta help lot read interest first assign rememb ask ta specif look write assign,1,Positive
Great,awesome,great,1,Positive
"Class requires you to constantly read difficult works that REALLY challenge even the most educated. He IS opinionated and slips in his own views, however, to a certain extent you can disagree as long as you have a coherent argument. The coursework is very difficult and if you are looking for an easy course, this is not it. You have been warned.",average,class requir constantli read difficult work realli challeng even educ opinion slip view howev certain extent disagre long coher argument coursework difficult look easi cours warn,1,Positive
hes sooo smart... arrogant yes but his lectures are undeniably interesting,average,he sooo smart arrog ye lectur undeni interest,1,Positive
"I remember coming on Ratemyprofessor just before Spring registration, and the comment I saw said just don't do it. But by the time I got to register I was stuck with Renzi. And after a full semester of his egotistical, condescending &quot;teaching&quot; I repeat JUST DON'T DO IT!!",poor,rememb come ratemyprofessor spring registr comment saw said time got regist stuck renzi full semest egotist condescend quot teach quot repeat,1,Positive
seriously should have listened to the guy 4 comments down when i checked this out.,poor,serious listen guy comment check,1,Positive
He's arrogant and obsessed with himself. If you ask him a question he immediately attacks you. On the other hand you really never need to read or do homework other than a couple of papers. Your grade is essentially based on whether your TA is a strict grader or not.,poor,arrog obsess ask question immedi attack hand realli never need read homework coupl paper grade essenti base whether ta strict grader,1,Positive
"Renzi, as a person, is very interesting and is convincing with his presentation of the texts read. However, his enthralling attitude toward the texts leaves little to no room for interpretation or opinions. In short, this class is just not worth the time or energy.",poor,renzi person interest convinc present text read howev enthral attitud toward text leav littl room interpret opinion short class worth time energi,1,Positive
"Professor Renzi himself is a very interesting man. I see why a lot of people have been calling him arrogant, but to me it seemed more like he played the devil's advocate. The thing with Renzi is that the TAs do all the grading and it's very hard to know what, exactly, they are looking for. This would be a great class if he had better TAs.",average,professor renzi interest man see lot peopl call arrog seem like play devil advoc thing renzi ta grade hard know exactli look would great class better ta,1,Positive
just don't do it,awful,,1,Positive
"(i took linked with writing the essay) the subject matter is boring, he know its all by heart which is impressive, but WHO CARES. he needs tp get over himself. My TA didn't speak english and actually gave me an F on a one page HW assignment! don't take his conwest class.",poor,took link write essay subject matter bore know heart impress care need tp get ta speak english actual gave f one page hw assign take conwest class,1,Positive
"I had a love/hate relationship w/ this man. Renzi is pompous, no doubt, but I think his class serves its purpose perfectly. I think it's a great introduction to philosophy. I enjoyed it, and I really did not feel intimidated at all. The grading is NOT hard, despite what previous posts say. I really didn't put in effort and I got a B in the course.",average,love hate relationship w man renzi pompou doubt think class serv purpos perfectli think great introduct philosophi enjoy realli feel intimid grade hard despit previou post say realli put effort got b cours,1,Positive
Very enthusiastic,average,enthusiast,1,Positive
No Comments,good,comment,1,Positive
"Renzi's lectures are intriguing and clear, but it's his TA's who make this class abysmal.  Not only do they not know what they're talking about in recitations, but they are entirely unhelpful and unfair graders.  Instead of reinforcing the lecture's content, the TA's put forth their own confusing interpretations, and screw you over on the papers.",poor,renzi lectur intrigu clear ta make class abysm know talk recit entir unhelp unfair grader instead reinforc lectur content ta put forth confus interpret screw paper,1,Positive
"He's a good professor, yes. But he's also entirely unfair and unyielding. I had mono the semester I took his class. All my other profs worked with me to catch up on missed work, etc. while I was sick, but Renzi failed me for attendance!! It didn't matter that I had mono and had doctor's notes. I had to withdraw or else he said he'd fail me.",average,good professor ye also entir unfair unyield mono semest took class prof work catch miss work etc sick renzi fail attend matter mono doctor note withdraw els said fail,1,Positive
"A ton of reading and work, but this guy is one of the most intelligent people I've ever met, ever. He's rude and arrogant, but he knows what he's talking about.",average,ton read work guy one intellig peopl ever met ever rude arrog know talk,1,Positive
"UNDER NO CIRCUMSTANCES SHOULD YOU TAKE THIS CLASS WHEN LINKED WITH WRITING THE ESSAY. Just dont do it. He thinks he's the smartest professor in the world and his lectures are very annoying, but I was able to sparknote everything without reading the books.",awful,circumst take class link write essay dont think smartest professor world lectur annoy abl sparknot everyth without read book,1,Positive
"Professor Renzi is intimidating, yet not evil. His class makes you think a lot and is very influential. If you don't like to read, then forget it b/c this is not a spark notable class. The material is pretty dense, esp. Nietzsche. Renzi is a bit conceited, yet I guess he has a right to be b/c the man surely knows his stuff. He can certainly teach!",average,professor renzi intimid yet evil class make think lot influenti like read forget b c spark notabl class materi pretti dens esp nietzsch renzi bit conceit yet guess right b c man sure know stuff certainli teach,1,Positive
"Don't worry Renzi, I'm not one of your &quot;friends.&quot; Granted, he's incredibly intelligent and his knowledge of the classics is irrefutable, his class is still absurdly difficult. No amount of preparation could get me beyond the &quot;B&quot; level. I felt like most of my effort was in vain. Avoid this class at all costs. Seriously. You'll thank me later.",poor,worri renzi one quot friend quot grant incred intellig knowledg classic irrefut class still absurdli difficult amount prepar could get beyond quot b quot level felt like effort vain avoid class cost serious thank later,1,Positive
"I think Prof. Renzi is absolutely amazing. He may be arrogant, but i believe he has every right to be. He conducts his lectures wonderfully and he's even amusing at times. I really really like him. It's his TA's I would warn against. But definitely check hm out. He's phenomenal.",poor,think prof renzi absolut amaz may arrog believ everi right conduct lectur wonder even amus time realli realli like ta would warn definit check hm phenomen,1,Positive
No Comments,poor,comment,1,Positive
"Smart and very interesting, but kind of arrogant",good,smart interest kind arrog,1,Positive
"What an arrogant prick!  Insulting and belittling.  He teaches his class by intimidation, and he speaks nonsense - grand-sounding, ethereal nonsense that means nothing and serves no purpose, but impresses.  I pity the kids who get drawn in by him.  Avoid him.",poor,arrog prick insult belittl teach class intimid speak nonsens grand sound ether nonsens mean noth serv purpos impress piti kid get drawn avoid,1,Positive
Professor Renzi is sooooo smart. He's pretty intimidating but you'll learn a lot in his class. Plus...he's hot in an Ed Harris kind of way. two thumbs up. You'll learn a lot and he provides great scenery.,awesome,professor renzi sooooo smart pretti intimid learn lot class plu hot ed harri kind way two thumb learn lot provid great sceneri,1,Positive
"Renzi is the man. His lectures are captivating and truly illuminate the work, author in question. My understanding of Nietzsche and Plato has been enhanced by him. Seems like someone who will write great philosphy signing off as Vincent Dionysus. Except he is a big Platonist. Being high helps in writing papers and getting best out of his lectures.",awesome,renzi man lectur captiv truli illumin work author question understand nietzsch plato enhanc seem like someon write great philosphi sign vincent dionysu except big platonist high help write paper get best lectur,1,Positive
"I think the name Nietszche will forever make me quake in my boots. Renzi's not respectfulin his opinion, but cracks a good joke ever so often. I must credit him in fueling my passion for the truth among all the things he said. I haven't found a lot yet. Call him a genius because like Frued he gets lots of students to believe what he says w/o facts.",poor,think name nietszch forev make quak boot renzi respectfulin opinion crack good joke ever often must credit fuel passion truth among thing said found lot yet call geniu like fru get lot student believ say w fact,1,Positive
"do not take this class if you don't wanna be challenged. the &quot;preceptors&quot; aka ta's... are FORCED to dole out bad grades on papers.  enough required reading to last a lifetime. though challenging, i must say that if you put in the effort, your mind will definitely grow and expand... just as renzi likes.",average,take class wanna challeng quot preceptor quot aka ta forc dole bad grade paper enough requir read last lifetim though challeng must say put effort mind definit grow expand renzi like,1,Positive
"Difficult material, a LOT of reading.  But very interesting.  Renzi is also a very smart guy.  Take it if you want an interesting and challenging class.",average,difficult materi lot read interest renzi also smart guy take want interest challeng class,1,Positive
"A lot of people say they don't like this class/teacher, but I really do. The lectures are sometimes hard to follow because the topics are so advances, but I understood them, I felt so inspired/enlightened/all that good stuff. Renzi expects a lot but he's a good teacher, speaks his mind, and is always available for office hours. I'd say go for it.",good,lot peopl say like class teacher realli lectur sometim hard follow topic advanc understood felt inspir enlighten good stuff renzi expect lot good teacher speak mind alway avail offic hour say go,1,Positive
"Renzi, the man, is a pretty funny guy.  Renzi, the professor, is scary as****.  I took ConWest linked with Writing the essay: the biggest mistake of my NYU experience.  Not only were his assignments extremely vague, the material was explained as if I was allready well aquainted with nietzschian polemic.   Honestly, the class is not worth your time",poor,renzi man pretti funni guy renzi professor scari took conwest link write essay biggest mistak nyu experi assign extrem vagu materi explain allreadi well aquaint nietzschian polem honestli class worth time,1,Positive
"Renzi is a tough teacher, and is intimidating at times. The class is quite tough but Renzi just wants you to genuinely think hard and put real effort into the class. He's condescending during lectures but if you go into him during office hours he truly appreciates the fact that you're trying to understand the text and rewards you.",awesome,renzi tough teacher intimid time class quit tough renzi want genuin think hard put real effort class condescend lectur go offic hour truli appreci fact tri understand text reward,1,Positive
"Renzi's class is awesome.  His lectures are really good and he's pretty funny, if you can understand what he's talking about.  he challenges just about everything that any student says in class, especially if it is dumb.  the books he teaches are really interesting and he knows a lot about them.  he never teaches from notes--he knows everything",good,renzi class awesom lectur realli good pretti funni understand talk challeng everyth student say class especi dumb book teach realli interest know lot never teach note know everyth,1,Positive
"He makes the class extremely and unnecessarily difficult. The grading is ridiculously low (i don't know a person who got A), the assignments-vague. His teaching sucks since no one can understand what he's saying. I don't know why people think he's smart when they can't get a word of his lecturing! Avoid him by any means!",awful,make class extrem unnecessarili difficult grade ridicul low know person got assign vagu teach suck sinc one understand say know peopl think smart get word lectur avoid mean,1,Positive
complete jerk. a real loser of a professor. avoid.,awful,complet jerk real loser professor avoid,1,Positive
"Renzi was scary the first couple of days. After that, he was just plain intimidating. But no real harm was ever done by him, he won't bite, he is just a great speaker. If you are struggling with philosophical questions, or if you at least consider the texts as more than just assignments Renzi will be there for you.",awesome,renzi scari first coupl day plain intimid real harm ever done bite great speaker struggl philosoph question least consid text assign renzi,1,Positive
"Renzi knows what he's talking about, but he lets you know it.  He's a very pompous & arrogant man.  If you say something in class that's wrong or that he doesn't agree with he'll shoot you down in a very condescending way. But, his lectures are generally interesting. But I dont think that makes up for his pompousness.",average,renzi know talk let know pompou arrog man say someth class wrong agre shoot condescend way lectur gener interest dont think make pompous,0,Negative
"So many are duped by his &quot;intelligent&quot; manner. I don't get this. Since when did being scary make you seem intelligent&#63; Anyway, Renzi's lectures are utterly boring in spite of his sweaty armpits, &quot;cultured&quot; bloviating, and rude manner. Count the minutes away.... s..l..o..w..l..y ....",poor,mani dupe quot intellig quot manner get sinc scari make seem intellig anyway renzi lectur utterli bore spite sweati armpit quot cultur quot bloviat rude manner count minut away l w l,1,Positive
"Professor Renzi is an amazing teacher, his lectures are extremely interesting. He is slightly intimidating if you talk to him one on one, but his lectures are great and fun to experience. He's not condescending, he just knows so much about his study and is passionate about it. Prepare to read hard texts and be challenged.",good,professor renzi amaz teacher lectur extrem interest slightli intimid talk one one lectur great fun experi condescend know much studi passion prepar read hard text challeng,1,Positive
A very mean-spirited man.,awful,mean spirit man,1,Positive
"Well, frankly, all the hype about Renzi being an **** really isn't unwarrented. He's an arrogant jerk, but, he's an intelligent arrogant jerk. The man's got a lot of knowledge to share, so if you can get over his attitude, then you'll learn a lot. However, there are easier professors for a con west class; its hard to even pull a B in this class.",poor,well frankli hype renzi realli unwarr arrog jerk intellig arrog jerk man got lot knowledg share get attitud learn lot howev easier professor con west class hard even pull b class,1,Positive
"Renzi is a jerk.  He is totally unhelpful (don't go to office hours - he seems to live to make you feel like a nitwit) and unbearably patronizing.  From day one, he makes it explicitly clear that he is interested in no opinions, thoughts, or feelings that do emanate from out of his own mouth.  A thoroughly miserable semester.",awful,renzi jerk total unhelp go offic hour seem live make feel like nitwit unbear patron day one make explicitli clear interest opinion thought feel eman mouth thoroughli miser semest,1,Positive
"Everybody gives Renzi crap about being 'pompous' and 'inaccessible'; while there is a certain air he carries, no doubt, Renzi will, at the core, challenge you immensely. You have to be pretty together during lecture to get all of what's going on, but he's a fabulous lecturer and he takes his job seriously in regard to his impact on students.",good,everybodi give renzi crap pompou inaccess certain air carri doubt renzi core challeng immens pretti togeth lectur get go fabul lectur take job serious regard impact student,1,Positive
"Renzi is in love with himself. His lectures are very interesting and thought provoking. However, I realized after the fact, that his lecture notes follow Sparknotes, almost line for line. Curious...",poor,renzi love lectur interest thought provok howev realiz fact lectur note follow sparknot almost line line curiou,1,Positive
"Dreadful instructor, a pompous idiot with wrinkled clothes and overactive armpits.  Ridiculously dull, loves nothing more than the sound of his own voice, belittles everyone, completely inaccessible, horrible grading, intimidating, rude, and narrow-minded.  What more is there to be said&#63;",poor,dread instructor pompou idiot wrinkl cloth overact armpit ridicul dull love noth sound voic belittl everyon complet inaccess horribl grade intimid rude narrow mind said,1,Positive
"Renzi is a man who knows his stuff. Lecture is very interesting, even funny, at times. He's always open to take questions during lecture, and he doesn't &quot;baby&quot; anyone, so be prepared for a lot of reading and a good amount of work. He also sees right through crap, so be prepared for an invigorating discussion if you ask a question in class.",good,renzi man know stuff lectur interest even funni time alway open take question lectur quot babi quot anyon prepar lot read good amount work also see right crap prepar invigor discuss ask question class,1,Positive
"Renzi is hard, but the class is worth it. He makes you rethink everything. My only problem with the class is the fact that he overly interprets all the readings; and only his veiw is &quot;correct.&quot;",average,renzi hard class worth make rethink everyth problem class fact overli interpret read veiw quot correct quot,1,Positive
"Tough class.  A lot of tense reading.  Amibigous grades.  I never know what to even ask during lecture. Sometimes he throws in some funny and applicable commentary, but he'd be better off staying in the Greek or Classics department he speaks of so fondly.",poor,tough class lot tens read amibig grade never know even ask lectur sometim throw funni applic commentari better stay greek classic depart speak fondli,1,Positive
No Comments,poor,comment,1,Positive
"Professor Renzi is smart, but he knows it. He doesn't understand that most students don't have a lot of knowledge in the class before taking it. The recitation teachers were pretty good and fair graders.  Renzi graded our midterm awfully. For example 45 out of 64 possible points should be a C- (70%) but he made this a D. Don't take his class!",average,professor renzi smart know understand student lot knowledg class take recit teacher pretti good fair grader renzi grade midterm aw exampl possibl point c made take class,1,Positive
"Great teacher, the class was a lot of info to process, and Renzi is not in the business of babying anyone. However, his lectures were always so on point that I ended up mainly studying from my notes.  The good thing is too that his stuff sticks, and he remembers you.  He is one of the smartest and best teachers I'd ever had at NYU.",good,great teacher class lot info process renzi busi babi anyon howev lectur alway point end mainli studi note good thing stuff stick rememb one smartest best teacher ever nyu,1,Positive
"The intelligence, the humor, the hotness... what can i say&#63; Renzi's class is extremely interesting and informative. One can learn a lot just by listening to him speak. This class demands a lot of reading and concentration. You can't bs anything,because Renzi seems to know everything. I definitely encourage all to take his conwest class.",awesome,intellig humor hot say renzi class extrem interest inform one learn lot listen speak class demand lot read concentr bs anyth renzi seem know everyth definit encourag take conwest class,1,Positive
"Renzi is tough, but really good at what he does.",good,renzi tough realli good,1,Positive
"Renzi's a tough ****, no question about it, but he's also one of the most brilliant professors you can have...or at least it seems that way.  He's arrogant and can do that thing where he's not really answering your question, only confusing you more, but if you put effort into the class, it's really rewarding.",good,renzi tough question also one brilliant professor least seem way arrog thing realli answer question confus put effort class realli reward,1,Positive
Really heavy and dense reading. Clear and informative lectures. Very demanding class. Recommend doing the Writing the Essay link to save a recitation.,good,realli heavi dens read clear inform lectur demand class recommend write essay link save recit,1,Positive
"He's arrogant, obnoxious, pretentious, sarcastic and too smart for his own good--I LOVED HIS CLASS. It was the only one I looked forward to/didn't doze off in. His midterm is hard, but the final is a gimme. It's easier than his pop quizzes.",good,arrog obnoxi pretenti sarcast smart good love class one look forward doze midterm hard final gimm easier pop quizz,1,Positive
"He knows so much that he's forgotten that his students don't all have the same background in philosophy.  I wish I could've learned more, but I was too busy just trying to tie it all together to make it mean anything.",awful,know much forgotten student background philosophi wish could learn busi tri tie togeth make mean anyth,1,Positive
"Renzi is an awful professor, a rude, obnoxious, unhelpful, arrogant pig.  Avoid him like the plague.  He's too busy worshipping his own intelligence to be of any use outside of lecture time.",poor,renzi aw professor rude obnoxi unhelp arrog pig avoid like plagu busi worship intellig use outsid lectur time,1,Positive
"he's condescending, arrogant, and mean just for the hell of it. all the same, i learned a lot in his class.",good,condescend arrog mean hell learn lot class,1,Positive
"Renzi is your typical arrogant professor.  His class is only interesting because he is such a braniac.  Miss a class, though - come to him with a problem, and he's sure to make you feel like an idiot.  Be aware, also, that this class is NYU's official avenue for required anti-Christian rhetoric.",average,renzi typic arrog professor class interest braniac miss class though come problem sure make feel like idiot awar also class nyu offici avenu requir anti christian rhetor,1,Positive
What an amazingly smart sexy bald man. He makes going to class almost as fun as shooting pool in local Brooklyn bar.,awesome,amazingli smart sexi bald man make go class almost fun shoot pool local brooklyn bar,1,Positive
"I hated this class!! the material was so dense and difficult to get through.  Lecture was extremely boring, but helpful in clarifying the material.  Renzi is VERY intelligent and intimidating that it's hard to approach him.",average,hate class materi dens difficult get lectur extrem bore help clarifi materi renzi intellig intimid hard approach,1,Positive
"I absolutely hated this class! The material was interesting, but Renzi's ridiculously difficult grading policy and intimidating demeanor made me dread the class and every assignment. I completed 95% of the reading, but I never felt comfident or prepared. Also, major pit stains!",average,absolut hate class materi interest renzi ridicul difficult grade polici intimid demeanor made dread class everi assign complet read never felt comfid prepar also major pit stain,1,Positive
"Renzi's a pretty smart guy, but he's cheap and bald.  Helluva dancer, graceful and swan-like.  They ought to give him a better office.  Maybe a corner unit with some mahogany panelling&#63;  What's the deal with those damn fire drills&#63;  Can't learn Philosophy while being herded out of the building.",awesome,renzi pretti smart guy cheap bald helluva dancer grace swan like ought give better offic mayb corner unit mahogani panel deal damn fire drill learn philosophi herd build,1,Positive
"Renzi is incredibly smart and interesting, but he makes even his most intelligent students feel stupid sometimes.  It's really hard to process what he wants from you, now matter how hard you work.",average,renzi incred smart interest make even intellig student feel stupid sometim realli hard process want matter hard work,1,Positive
"Boring at times, but Renzi is a really smart guy and he has the ability to make his students understand the complexities of the texts he deals with. He is by no means an easy grader, but if you keep up somewhat with the reading you'll probably do alright.",average,bore time renzi realli smart guy abil make student understand complex text deal mean easi grader keep somewhat read probabl alright,1,Positive
"Extremely intelligent. Extremely stringent. Interesting treatment of course material undercut by attendance policy and length of reading assignments. A challenge, if you are into that sorta thing.",good,extrem intellig extrem stringent interest treatment cours materi undercut attend polici length read assign challeng sorta thing,1,Positive
"the material was interesting, and so was the grading. you think you're doing great and then end up with something less than stellar. i think my TA tried a little too hard, but at the same time she couldn't even explain the paper topic.",average,materi interest grade think great end someth less stellar think ta tri littl hard time even explain paper topic,1,Positive
"It's not impossible to get an A, I did. The material is icredibly interesting. It was my favorite class of both semesters i've been here, and I'm not even a clasics or philosophy major. Renzi is SO intelligent, and teaches well.",awesome,imposs get materi icred interest favorit class semest even clasic philosophi major renzi intellig teach well,1,Positive
His class in INCREDIBLY interesting... but u won't get an A no matter how hard u bust your a$$. He is a great prof. and lecturer but verrrrrry difficult. Only take him if your ready for an immense challenge.,average,class incred interest u get matter hard u bust great prof lectur verrrrrri difficult take readi immens challeng,1,Positive
Professor Renzi is a scarily intelligent man who has an interestingly socratic way of intimidating the hell out of all the students in ConWest.  He makes the class so incredibly difficult yet so incredibly interesting and engaging and mind-opening and fun,awesome,professor renzi scarili intellig man interestingli socrat way intimid hell student conwest make class incred difficult yet incred interest engag mind open fun,1,Positive
"mmmm renzi.  definitely knows his stuff, definitely has a lot to teach.  hot because he's so damn smart.",average,mmmm renzi definit know stuff definit lot teach hot damn smart,1,Positive
he's so smart it's scary.  grading was definitely unfair.  it's so interesting though it's a shame to not take it but you won't get an A,average,smart scari grade definit unfair interest though shame take get,1,Positive
Hard as Hell... But overall a good learning experience.,good,hard hell overal good learn experi,1,Positive
"his class was very difficult as a MAP. i think he is an amazing professor, but has unfair grading policies, where you think you are doing well all semester, and then do horribly on the final grade.",average,class difficult map think amaz professor unfair grade polici think well semest horribl final grade,1,Positive
No Comments,poor,comment,1,Positive
"he's way smart in his field, but way too hard on a map course",average,way smart field way hard map cours,1,Positive
too much work for a MAP class,average,much work map class,1,Positive
very mean and arrogant,average,mean arrog,1,Positive
"This class was awesome, you just had to really work for the grade.",awesome,class awesom realli work grade,1,Positive
No Comments,awesome,comment,1,Positive
Very good professor. Teach economics not just based on textbook. Lectures are stimulating. Tests are not hard if you are willing to think. Would recommend.,good,good professor teach econom base textbook lectur stimul test hard will think would recommend,1,Positive
I wouldn't take it again!,poor,take,1,Positive
"Although I am not a Economics major, I enjoyed this class a lot. Harry was very clear at his explanations and would not mind to repeat unclear concepts. Honestly, I dislike his arrogant attitude. CLASS STRUCTURE: Final grade is NOT curved, so you better work hard for an A. This class is based on 3 exams for which each question is worth 1 point.",good,although econom major enjoy class lot harri clear explan would mind repeat unclear concept honestli dislik arrog attitud class structur final grade curv better work hard class base exam question worth point,1,Positive
"Explains concepts clearly - but goes really slow. Useful for students who aren't used to economics concepts but unbearably boring to sit in lectures where he panders to students like we're kids. Grading system is ridiculous - one point  one percent. Some questions on tests are vaguely framed, meant to trick you, and other answers often have merit.",good,explain concept clearli goe realli slow use student use econom concept unbear bore sit lectur pander student like kid grade system ridicul one point one percent question test vagu frame meant trick answer often merit,0,Negative
"Kits isn't helpful at all. The tests aren't that hard, but you will NEED to study by the book. He barely covers any of the material in each chapter. Again, not that difficult, but you MUST STUDY BY THE BOOK.",average,kit help test hard need studi book bare cover materi chapter difficult must studi book,1,Positive
"By far worst economics professor of all time. Test are not hard but his lectures are useless. scares people that the test is coming from the lectures but it did not happen once. Everything comes out of textbook. Arrogant and always complaining. In this way, he never builds any bonds with students. Doesnt try to listen to us. bet my life on my rate.",awful,far worst econom professor time test hard lectur useless scare peopl test come lectur happen everyth come textbook arrog alway complain way never build bond student doesnt tri listen us bet life rate,1,Positive
There were only three assignments for this class - three tests that add up to 100 points. These are incredibly easy if you read the book and attend (at least some) lectures. Professor is a cool dude and makes the lectures entertaining. Really good for an intro level course.,good,three assign class three test add point incred easi read book attend least lectur professor cool dude make lectur entertain realli good intro level cours,1,Positive
"Pretty decent class. Grading set-up is simple: every point you get wrong on the tests is a point off your average. Tests are heavily based on the textbook so if you read them closely you'll be okay, even if you miss class. The professor is entertaining and makes concepts clear and memorable. Accent was sometimes distracting, not unbearable though.",good,pretti decent class grade set simpl everi point get wrong test point averag test heavili base textbook read close okay even miss class professor entertain make concept clear memor accent sometim distract unbear though,1,Positive
This guy is the hardest grader you will ever have for a class with essays in it. But his lectures are engaging and eye-opening. He takes economic ideas and applies them to comment on society and how (he believes) it should be fixed. Definitely one of the best classes I've taken here. But this is NOT an easy class. I barely passed.,awesome,guy hardest grader ever class essay lectur engag eye open take econom idea appli comment societi believ fix definit one best class taken easi class bare pass,1,Positive
"Prof Kitsikopoulus is funny, knows his stuff and most importantly is a great teacher. He conducts class in an engaging way, encourages participation and uses real world examples to explain the concepts. Tests are tough but you learn a lot. This was definitely one of my favorite classes because of Kitz",awesome,prof kitsikopoulu funni know stuff importantli great teacher conduct class engag way encourag particip use real world exampl explain concept test tough learn lot definit one favorit class kitz,1,Positive
"Grade is derived from  a total of 100 questions over 3 exams. Solid A is less than 6 wrong. Getting an A- is VERY easy, but getting an A is very tough. You must read the book (there are a couple fact based questions each test that are only found in book). The questions are designed to trick you, pay attention to wording. Great professor, engaging.",good,grade deriv total question exam solid less wrong get easi get tough must read book coupl fact base question test found book question design trick pay attent word great professor engag,1,Positive
"Kitz is da man! He is extremely funny and explains subject material well using a great amount of detail and relatable examples, so go to class! Downside, he only has three exams that count for the whole class & they're super tricky! So, pay attention in class and make sure you get the book!!",awesome,kitz da man extrem funni explain subject materi well use great amount detail relat exampl go class downsid three exam count whole class super tricki pay attent class make sure get book,1,Positive
awful,awful,aw,1,Positive
"super awesome prof, just be sure to read the textbook. talks about relevant current events which helps a lot",awesome,super awesom prof sure read textbook talk relev current event help lot,1,Positive
"Kitsikopoulos is a great professor & lecturer. He is very entertaining and tells funny jokes during class. He is also easy to approach with questions.  The only thing is that grades a 100% based off exams, and the final exam was really difficult (average final exam score of fall 2013 was about 71%).",awesome,kitsikopoulo great professor lectur entertain tell funni joke class also easi approach question thing grade base exam final exam realli difficult averag final exam score fall,1,Positive
